Time	Conc
2224.875	0.0118
2224.917	0.0118
2224.958	0.0118
2225	0.0118
2225.042	0.0117
2225.083	0.0117
2225.125	0.0117
2225.167	0.0117
2225.208	0.0117
2225.25	0.0117
2225.292	0.0116
2225.333	0.0116
2225.375	0.0116
2225.417	0.0116
2225.458	0.0116
2225.5	0.0116
2225.542	0.0115
2225.583	0.0115
2225.625	0.0115
2225.667	0.0115
2225.708	0.0115
2225.75	0.0114
2225.792	0.0114
2225.833	0.0114
2225.875	0.0114
2225.917	0.0114
2225.958	0.0114
2226	0.0113
2226.042	0.0113
2226.083	0.0113
2226.125	0.0113
2226.167	0.0113
2226.208	0.0113
2226.25	0.0112
2226.292	0.0112
2226.333	0.0112
2226.375	0.0112
2226.417	0.0112
2226.458	0.0112
2226.5	0.0111
2226.542	0.0111
2226.583	0.0111
2226.625	0.0111
2226.667	0.0111
2226.708	0.011
2226.75	0.011
2226.792	0.011
2226.833	0.011
2226.875	0.011
2226.917	0.011
2226.958	0.0109
2227	0.0109
2227.042	0.0109
2227.083	0.0109
2227.125	0.0109
2227.167	0.0109
2227.208	0.0108
2227.25	0.0108
2227.292	0.0108
2227.333	0.0108
2227.375	0.0108
2227.417	0.0108
2227.458	0.0107
2227.5	0.0107
2227.542	0.0107
2227.583	0.0107
2227.625	0.0107
2227.667	0.0107
2227.708	0.0106
2227.75	0.0106
2227.792	0.0106
2227.833	0.0106
2227.875	0.0106
2227.917	0.0106
2227.958	0.0105
2228	0.0105
2228.042	0.0105
2228.083	0.0105
2228.125	0.0105
2228.167	0.0105
2228.208	0.0105
2228.25	0.0104
2228.292	0.0104
2228.333	0.0104
2228.375	0.0104
2228.417	0.0104
2228.458	0.0104
2228.5	0.0103
2228.542	0.0103
2228.583	0.0103
2228.625	0.0103
2228.667	0.0103
2228.708	0.0103
2228.75	0.0102
2228.792	0.0102
2228.833	0.0102
2228.875	0.0102
2228.917	0.0102
2228.958	0.0102
2229	0.0101
2229.042	0.0101
2229.083	0.0101
2229.125	0.0101
2229.167	0.0101
2229.208	0.0101
2229.25	0.0101
2229.292	0.01
2229.333	0.01
2229.375	0.01
2229.417	0.00999
2229.458	0.00997
2229.5	0.00996
2229.542	0.00994
2229.583	0.00993
2229.625	0.00991
2229.667	0.00989
2229.708	0.00988
2229.75	0.00986
2229.792	0.00985
2229.833	0.00983
2229.875	0.00982
2229.917	0.0098
2229.958	0.00979
2230	0.00977
2230.042	0.00976
2230.083	0.00974
2230.125	0.00972
2230.167	0.00971
2230.208	0.00969
2230.25	0.00968
2230.292	0.00966
2230.333	0.00965
2230.375	0.00963
2230.417	0.00962
2230.458	0.0096
2230.5	0.00959
2230.542	0.00957
2230.583	0.00956
2230.625	0.00954
2230.667	0.00953
2230.708	0.00951
2230.75	0.0095
2230.792	0.00948
2230.833	0.00947
2230.875	0.00945
2230.917	0.00944
2230.958	0.00942
2231	0.00941
2231.042	0.00939
2231.083	0.00938
2231.125	0.00936
2231.167	0.00935
2231.208	0.00933
2231.25	0.00932
2231.292	0.0093
2231.333	0.00929
2231.375	0.00927
2231.417	0.00926
2231.458	0.00925
2231.5	0.00923
2231.542	0.00922
2231.583	0.0092
2231.625	0.00919
2231.667	0.00917
2231.708	0.00916
2231.75	0.00914
2231.792	0.00913
2231.833	0.00911
2231.875	0.0091
2231.917	0.00909
2231.958	0.00907
2232	0.00906
2232.042	0.00904
2232.083	0.00903
2232.125	0.00901
2232.167	0.009
2232.208	0.00899
2232.25	0.00897
2232.292	0.00896
2232.333	0.00894
2232.375	0.00893
2232.417	0.00891
2232.458	0.0089
2232.5	0.00889
2232.542	0.00887
2232.583	0.00886
2232.625	0.00884
2232.667	0.00883
2232.708	0.00882
2232.75	0.0088
2232.792	0.00879
2232.833	0.00877
2232.875	0.00876
2232.917	0.00875
2232.958	0.00873
2233	0.00872
2233.042	0.0087
2233.083	0.00869
2233.125	0.00868
2233.167	0.00866
2233.208	0.00865
2233.25	0.00863
2233.292	0.00862
2233.333	0.00861
2233.375	0.00859
2233.417	0.00858
2233.458	0.00857
2233.5	0.00855
2233.542	0.00854
2233.583	0.00852
2233.625	0.00851
2233.667	0.0085
2233.708	0.00848
2233.75	0.00847
2233.792	0.00846
2233.833	0.00844
2233.875	0.00843
2233.917	0.00842
2233.958	0.0084
2234	0.00839
2234.042	0.00838
2234.083	0.00836
2234.125	0.00835
2234.167	0.00834
2234.208	0.00856
2234.25	0.00958
2234.292	0.0115
2234.333	0.014
2234.375	0.0166
2234.417	0.019
2234.458	0.0213
2234.5	0.0233
2234.542	0.0251
2234.583	0.0265
2234.625	0.0277
2234.667	0.0287
2234.708	0.0294
2234.75	0.0301
2234.792	0.0306
2234.833	0.031
2234.875	0.0313
2234.917	0.0316
2234.958	0.0319
2235	0.0321
2235.042	0.0323
2235.083	0.0324
2235.125	0.0326
2235.167	0.0327
2235.208	0.0327
2235.25	0.0327
2235.292	0.0326
2235.333	0.0323
2235.375	0.0319
2235.417	0.0316
2235.458	0.0314
2235.5	0.0311
2235.542	0.0309
2235.583	0.0308
2235.625	0.0307
2235.667	0.0306
2235.708	0.0305
2235.75	0.0305
2235.792	0.0305
2235.833	0.0304
2235.875	0.0304
2235.917	0.0304
2235.958	0.0304
2236	0.0304
2236.042	0.0304
2236.083	0.0304
2236.125	0.0304
2236.167	0.0304
2236.208	0.0304
2236.25	0.0304
2236.292	0.0303
2236.333	0.0302
2236.375	0.0301
2236.417	0.03
2236.458	0.0299
2236.5	0.0298
2236.542	0.0297
2236.583	0.0296
2236.625	0.0295
2236.667	0.0295
2236.708	0.0294
2236.75	0.0293
2236.792	0.0293
2236.833	0.0293
2236.875	0.0292
2236.917	0.0292
2236.958	0.0291
2237	0.0291
2237.042	0.0291
2237.083	0.0291
2237.125	0.029
2237.167	0.029
2237.208	0.029
2237.25	0.029
2237.292	0.029
2237.333	0.0289
2237.375	0.0289
2237.417	0.0289
2237.458	0.0289
2237.5	0.0289
2237.542	0.0289
2237.583	0.0289
2237.625	0.0289
2237.667	0.0289
2237.708	0.0289
2237.75	0.0288
2237.792	0.0288
2237.833	0.0288
2237.875	0.0288
2237.917	0.0288
2237.958	0.0288
2238	0.0288
2238.042	0.0288
2238.083	0.0288
2238.125	0.0288
2238.167	0.0288
2238.208	0.0288
2238.25	0.0288
2238.292	0.0288
2238.333	0.0288
2238.375	0.0288
2238.417	0.0288
2238.458	0.0288
2238.5	0.0288
2238.542	0.0288
2238.583	0.0288
2238.625	0.0288
2238.667	0.0288
2238.708	0.0288
2238.75	0.0288
2238.792	0.0288
2238.833	0.0288
2238.875	0.0287
2238.917	0.0287
2238.958	0.0287
2239	0.0287
2239.042	0.0287
2239.083	0.0287
2239.125	0.0287
2239.167	0.0287
2239.208	0.0287
2239.25	0.0287
2239.292	0.0287
2239.333	0.0287
2239.375	0.0287
2239.417	0.0287
2239.458	0.0287
2239.5	0.0287
2239.542	0.0287
2239.583	0.0287
2239.625	0.0287
2239.667	0.0287
2239.708	0.0287
2239.75	0.0287
2239.792	0.0287
2239.833	0.0287
2239.875	0.0287
2239.917	0.0287
2239.958	0.0287
2240	0.0287
2240.042	0.0287
2240.083	0.0287
2240.125	0.0287
2240.167	0.0287
2240.208	0.0287
2240.25	0.0287
2240.292	0.0288
2240.333	0.0288
2240.375	0.0288
2240.417	0.0288
2240.458	0.0288
2240.5	0.0288
2240.542	0.0288
2240.583	0.0288
2240.625	0.0288
2240.667	0.0288
2240.708	0.0288
2240.75	0.0288
2240.792	0.0288
2240.833	0.0288
2240.875	0.0288
2240.917	0.0288
2240.958	0.0288
2241	0.0288
2241.042	0.0288
2241.083	0.0288
2241.125	0.0288
2241.167	0.0288
2241.208	0.0288
2241.25	0.0288
2241.292	0.0288
2241.333	0.0288
2241.375	0.0288
2241.417	0.0288
2241.458	0.0288
2241.5	0.0288
2241.542	0.0288
2241.583	0.0288
2241.625	0.0288
2241.667	0.0288
2241.708	0.0288
2241.75	0.0288
2241.792	0.0288
2241.833	0.0288
2241.875	0.0288
2241.917	0.0288
2241.958	0.0288
2242	0.0288
2242.042	0.0288
2242.083	0.0288
2242.125	0.0288
2242.167	0.0288
2242.208	0.0288
2242.25	0.0288
2242.292	0.0288
2242.333	0.0288
2242.375	0.0288
2242.417	0.0288
2242.458	0.0288
2242.5	0.0288
2242.542	0.0288
2242.583	0.0288
2242.625	0.0288
2242.667	0.0288
2242.708	0.0288
2242.75	0.0288
2242.792	0.0288
2242.833	0.0288
2242.875	0.0288
2242.917	0.0288
2242.958	0.0288
2243	0.0288
2243.042	0.0288
2243.083	0.0288
2243.125	0.0289
2243.167	0.0289
2243.208	0.0289
2243.25	0.0289
2243.292	0.0289
2243.333	0.0289
2243.375	0.0289
2243.417	0.0289
2243.458	0.0289
2243.5	0.0289
2243.542	0.0289
2243.583	0.0289
2243.625	0.0289
2243.667	0.0289
2243.708	0.0289
2243.75	0.0289
2243.792	0.0289
2243.833	0.0289
2243.875	0.0289
2243.917	0.0289
2243.958	0.0289
2244	0.0289
2244.042	0.0289
2244.083	0.0289
2244.125	0.0289
2244.167	0.0289
2244.208	0.0289
2244.25	0.0289
2244.292	0.0289
2244.333	0.0289
2244.375	0.0289
2244.417	0.0289
2244.458	0.0289
2244.5	0.0289
2244.542	0.0289
2244.583	0.0289
2244.625	0.0289
2244.667	0.0289
2244.708	0.0289
2244.75	0.0289
2244.792	0.0289
2244.833	0.0289
2244.875	0.0289
2244.917	0.0289
2244.958	0.0289
2245	0.0289
2245.042	0.0289
2245.083	0.0289
2245.125	0.0289
2245.167	0.0289
2245.208	0.0289
2245.25	0.0289
2245.292	0.0289
2245.333	0.0289
2245.375	0.0289
2245.417	0.0289
2245.458	0.0289
2245.5	0.0289
2245.542	0.0289
2245.583	0.0289
2245.625	0.0289
2245.667	0.0289
2245.708	0.0289
2245.75	0.0289
2245.792	0.0289
2245.833	0.0289
2245.875	0.0289
2245.917	0.0289
2245.958	0.029
2246	0.029
2246.042	0.029
2246.083	0.029
2246.125	0.029
2246.167	0.029
2246.208	0.029
2246.25	0.029
2246.292	0.029
2246.333	0.029
2246.375	0.029
2246.417	0.029
2246.458	0.029
2246.5	0.029
2246.542	0.029
2246.583	0.029
2246.625	0.029
2246.667	0.029
2246.708	0.029
2246.75	0.029
2246.792	0.029
2246.833	0.029
2246.875	0.029
2246.917	0.029
2246.958	0.029
2247	0.029
2247.042	0.029
2247.083	0.029
2247.125	0.029
2247.167	0.029
2247.208	0.029
2247.25	0.029
2247.292	0.029
2247.333	0.029
2247.375	0.029
2247.417	0.029
2247.458	0.029
2247.5	0.029
2247.542	0.029
2247.583	0.029
2247.625	0.029
2247.667	0.029
2247.708	0.029
2247.75	0.029
2247.792	0.029
2247.833	0.029
2247.875	0.029
2247.917	0.029
2247.958	0.029
2248	0.029
2248.042	0.029
2248.083	0.029
2248.125	0.029
2248.167	0.029
2248.208	0.029
2248.25	0.029
2248.292	0.029
2248.333	0.029
2248.375	0.029
2248.417	0.029
2248.458	0.029
2248.5	0.029
2248.542	0.029
2248.583	0.029
2248.625	0.029
2248.667	0.029
2248.708	0.029
2248.75	0.029
2248.792	0.029
2248.833	0.029
2248.875	0.029
2248.917	0.029
2248.958	0.029
2249	0.029
2249.042	0.029
2249.083	0.029
2249.125	0.029
2249.167	0.029
2249.208	0.029
2249.25	0.0291
2249.292	0.0291
2249.333	0.0291
2249.375	0.0291
2249.417	0.0291
2249.458	0.0291
2249.5	0.0291
2249.542	0.0291
2249.583	0.0291
2249.625	0.0291
2249.667	0.0291
2249.708	0.0291
2249.75	0.0291
2249.792	0.0291
2249.833	0.0291
2249.875	0.0291
2249.917	0.0291
2249.958	0.0291
2250	0.0291
2250.042	0.0291
2250.083	0.0291
2250.125	0.0291
2250.167	0.0291
2250.208	0.0291
2250.25	0.0291
2250.292	0.0291
2250.333	0.0291
2250.375	0.0291
2250.417	0.0291
2250.458	0.0291
2250.5	0.0291
2250.542	0.0291
2250.583	0.0291
2250.625	0.0291
2250.667	0.0291
2250.708	0.0291
2250.75	0.0291
2250.792	0.0291
2250.833	0.0291
2250.875	0.0291
2250.917	0.0291
2250.958	0.0291
2251	0.0291
2251.042	0.0291
2251.083	0.0291
2251.125	0.0291
2251.167	0.0291
2251.208	0.0291
2251.25	0.0291
2251.292	0.0291
2251.333	0.0291
2251.375	0.0291
2251.417	0.0291
2251.458	0.0291
2251.5	0.0291
2251.542	0.0291
2251.583	0.0291
2251.625	0.0291
2251.667	0.0291
2251.708	0.0291
2251.75	0.0291
2251.792	0.0291
2251.833	0.0291
2251.875	0.0291
2251.917	0.0291
2251.958	0.0291
2252	0.0291
2252.042	0.0291
2252.083	0.0291
2252.125	0.0291
2252.167	0.0291
2252.208	0.0291
2252.25	0.0291
2252.292	0.0291
2252.333	0.0291
